provincia,macro_sector,anio,vab,participacion_pct
Buenos Aires,Industria manufacturera,2015,60163.98646940796,30.797510317352124
Buenos Aires,Comercio,2015,30084.13897627681,15.399853548295926
Buenos Aires,"Administración pública, salud y educación",2015,21892.088077138047,11.206401835870153
Buenos Aires,Transporte y comunicaciones,2015,19701.776144083742,10.085196970385395
Buenos Aires,Servicios financieros e inmobiliarios,2015,18985.287354760596,9.718431531850719
Buenos Aires,"Agro, pesca y silvicultura",2015,16642.100791898556,8.518971247051963
Buenos Aires,Resto / no clasificado,2015,7079.679678613959,3.6240369154482184
Buenos Aires,Otros servicios,2015,6921.466804470028,3.543048887398195
Buenos Aires,Construcción,2015,6754.972623222004,3.457821718028818
Buenos Aires,Minería y energía,2015,4289.055262830655,2.1955364240347746
Buenos Aires,Hotelería y gastronomía,2015,2838.8573931035053,1.4531906042837208
Buenos Aires,Industria manufacturera,2016,57015.65206358108,29.817969946877003
Buenos Aires,Comercio,2016,29221.26037899337,15.282095920240288
Buenos Aires,"Administración pública, salud y educación",2016,22029.083329458754,11.520740724714491
Buenos Aires,Transporte y comunicaciones,2016,20241.525097690734,10.585885896189295
Buenos Aires,Servicios financieros e inmobiliarios,2016,19172.097617330834,10.026598133696009
Buenos Aires,"Agro, pesca y silvicultura",2016,16464.77221733341,8.610724693828706
Buenos Aires,Resto / no clasificado,2016,6908.688952729927,3.613096967392349
Buenos Aires,Otros servicios,2016,6857.866573324911,3.5865179469500745
Buenos Aires,Construcción,2016,5992.492456812457,3.1339457415107934
Buenos Aires,Minería y energía,2016,4391.728276862223,2.296780217970601
Buenos Aires,Hotelería y gastronomía,2016,2917.2199460536517,1.5256438106303838
Buenos Aires,Industria manufacturera,2017,58972.70976868713,30.07987002866922
Buenos Aires,Comercio,2017,30317.816001104387,15.464033591865764
Buenos Aires,"Administración pública, salud y educación",2017,22458.25341409584,11.455151822201215
Buenos Aires,Transporte y comunicaciones,2017,20782.00981325677,10.60015991412376
Buenos Aires,Servicios financieros e inmobiliarios,2017,19469.160826771687,9.930522601617058
Buenos Aires,"Agro, pesca y silvicultura",2017,16326.652206954335,8.32764134995259
Buenos Aires,Resto / no clasificado,2017,7041.076548352906,3.5914013154067987
Buenos Aires,Otros servicios,2017,6871.208082719807,3.504757486621333
Buenos Aires,Construcción,2017,6532.142513877493,3.331812267010804
Buenos Aires,Minería y energía,2017,4310.126377231565,2.1984413085780217
Buenos Aires,Hotelería y gastronomía,2017,2972.583085047385,1.5162083139534275
Buenos Aires,Industria manufacturera,2018,56192.102247652845,29.62077015493639
Buenos Aires,Comercio,2018,29115.117393089567,15.34756960210934
Buenos Aires,"Administración pública, salud y educación",2018,22722.97322428064,11.978052790173106
Buenos Aires,Transporte y comunicaciones,2018,20207.357316662827,10.651986001120711
Buenos Aires,Servicios financieros e inmobiliarios,2018,19759.368150600054,10.415835659897246
Buenos Aires,"Agro, pesca y silvicultura",2018,13918.897933297932,7.337124969540689
Buenos Aires,Resto / no clasificado,2018,7034.801884534915,3.708283573178222
Buenos Aires,Otros servicios,2018,6795.301416951204,3.5820347229210987
Buenos Aires,Construcción,2018,6567.5202312647,3.4619635051349604
Buenos Aires,Minería y energía,2018,4454.533591906419,2.3481363108961575
Buenos Aires,Hotelería y gastronomía,2018,2937.094890329127,1.5482427100920777
Buenos Aires,Industria manufacturera,2019,52352.90089492784,28.316673449196973
Buenos Aires,Comercio,2019,26738.206319554876,14.462179631414557
Buenos Aires,"Administración pública, salud y educación",2019,22088.461537224415,11.947222439498658
Buenos Aires,Transporte y comunicaciones,2019,20213.870310632396,10.933292233020286
Buenos Aires,Servicios financieros e inmobiliarios,2019,19440.92919242801,10.515223303400166
Buenos Aires,"Agro, pesca y silvicultura",2019,16917.72310340943,9.150469838999745
Buenos Aires,Otros servicios,2019,6705.091193580957,3.626654388393467
Buenos Aires,Resto / no clasificado,2019,6571.951151946492,3.5546415100709807
Buenos Aires,Construcción,2019,6534.885265587517,3.5345932876766066
Buenos Aires,Minería y energía,2019,4421.865050008869,2.391701443800018
Buenos Aires,Hotelería y gastronomía,2019,2897.771148931902,1.5673484745285402
Buenos Aires,Industria manufacturera,2020,48299.855873492,28.731792412886858
