provincia,anio,hhi
Santiago del Estero,2024,0.1676640177031753
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",2004,0.09945817513902523
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",2005,0.08889972568332327
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",2006,0.08101295547941298
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",2007,0.07344655347244368
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",2008,0.07581998301270998
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",2009,0.07883840168570876
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",2010,0.0780443000206876
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",2011,0.10386924797295616
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",2012,0.11757600111138951
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",2013,0.1154747858667331
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",2014,0.0947037712470373
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",2015,0.09910484585244615
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",2016,0.09508438501927875
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",2017,0.09446616572581476
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",2018,0.09225818118587743
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",2019,0.08211670583961928
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",2020,0.10052567571446126
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",2021,0.09982066063810488
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",2022,0.10152561500093295
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",2023,0.09445523742542965
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",2024,0.0781211097744765
Tucumán,2004,0.07785402574202106
Tucumán,2005,0.07808513546197708
Tucumán,2006,0.0787251347464217
Tucumán,2007,0.07641162845284186
Tucumán,2008,0.07479092121801488
Tucumán,2009,0.07330201409758436
Tucumán,2010,0.07345520213445568
Tucumán,2011,0.075968661424352
Tucumán,2012,0.0722824017943404
Tucumán,2013,0.07161900822161324
Tucumán,2014,0.06976892303863842
Tucumán,2015,0.07140455246686779
Tucumán,2016,0.07241626483599829
Tucumán,2017,0.07312266904042375
Tucumán,2018,0.07380108109256746
Tucumán,2019,0.073001321098373
Tucumán,2020,0.07782165228239353
Tucumán,2021,0.0759190257787924
Tucumán,2022,0.07676897550022456
Tucumán,2023,0.07817107498728743
Tucumán,2024,0.07781970684423904
