provincia,sector,anio,vab,nota_calidad
Ciudad Autónoma de Buenos Aires,Fabricación de prendas de vestir; terminación y teñido de pieles,2014,1353.446061819188,definitivo
Ciudad Autónoma de Buenos Aires,Fabricación de prendas de vestir; terminación y teñido de pieles,2015,1431.8512325185386,definitivo
Ciudad Autónoma de Buenos Aires,Fabricación de prendas de vestir; terminación y teñido de pieles,2016,1266.1118338923548,definitivo
Ciudad Autónoma de Buenos Aires,Fabricación de prendas de vestir; terminación y teñido de pieles,2017,1131.5392080254055,definitivo
Ciudad Autónoma de Buenos Aires,Fabricación de prendas de vestir; terminación y teñido de pieles,2018,995.5463034065531,definitivo
Ciudad Autónoma de Buenos Aires,Fabricación de prendas de vestir; terminación y teñido de pieles,2019,841.4107013840783,definitivo
Ciudad Autónoma de Buenos Aires,Fabricación de prendas de vestir; terminación y teñido de pieles,2020,553.0659173848652,definitivo
Ciudad Autónoma de Buenos Aires,Fabricación de prendas de vestir; terminación y teñido de pieles,2021,818.7223201900734,definitivo
Ciudad Autónoma de Buenos Aires,Fabricación de prendas de vestir; terminación y teñido de pieles,2022,820.5625535740799,definitivo
Ciudad Autónoma de Buenos Aires,Fabricación de prendas de vestir; terminación y teñido de pieles,2023,849.5756966360905,provisorio
Ciudad Autónoma de Buenos Aires,Fabricación de prendas de vestir; terminación y teñido de pieles,2024,813.7041513584929,preliminar
Ciudad Autónoma de Buenos Aires,"Curtido y terminación de cueros; fabricación de artículos de marroquinería, talabartería y calzado y de sus partes",2004,260.2532542484287,definitivo
Ciudad Autónoma de Buenos Aires,"Curtido y terminación de cueros; fabricación de artículos de marroquinería, talabartería y calzado y de sus partes",2005,281.971642004335,definitivo
Ciudad Autónoma de Buenos Aires,"Curtido y terminación de cueros; fabricación de artículos de marroquinería, talabartería y calzado y de sus partes",2006,360.4339420467584,definitivo
Ciudad Autónoma de Buenos Aires,"Curtido y terminación de cueros; fabricación de artículos de marroquinería, talabartería y calzado y de sus partes",2007,453.1478824065434,definitivo
Ciudad Autónoma de Buenos Aires,"Curtido y terminación de cueros; fabricación de artículos de marroquinería, talabartería y calzado y de sus partes",2008,515.196417505922,definitivo
Ciudad Autónoma de Buenos Aires,"Curtido y terminación de cueros; fabricación de artículos de marroquinería, talabartería y calzado y de sus partes",2009,545.7280507657316,definitivo
Ciudad Autónoma de Buenos Aires,"Curtido y terminación de cueros; fabricación de artículos de marroquinería, talabartería y calzado y de sus partes",2010,665.3262446839834,definitivo
Ciudad Autónoma de Buenos Aires,"Curtido y terminación de cueros; fabricación de artículos de marroquinería, talabartería y calzado y de sus partes",2011,640.6613759035773,definitivo
Ciudad Autónoma de Buenos Aires,"Curtido y terminación de cueros; fabricación de artículos de marroquinería, talabartería y calzado y de sus partes",2012,566.276379991598,definitivo
Ciudad Autónoma de Buenos Aires,"Curtido y terminación de cueros; fabricación de artículos de marroquinería, talabartería y calzado y de sus partes",2013,544.643566090996,definitivo
Ciudad Autónoma de Buenos Aires,"Curtido y terminación de cueros; fabricación de artículos de marroquinería, talabartería y calzado y de sus partes",2014,519.0630307190247,definitivo
Ciudad Autónoma de Buenos Aires,"Curtido y terminación de cueros; fabricación de artículos de marroquinería, talabartería y calzado y de sus partes",2015,477.8896823355981,definitivo
Ciudad Autónoma de Buenos Aires,"Curtido y terminación de cueros; fabricación de artículos de marroquinería, talabartería y calzado y de sus partes",2016,419.90452644107137,definitivo
Ciudad Autónoma de Buenos Aires,"Curtido y terminación de cueros; fabricación de artículos de marroquinería, talabartería y calzado y de sus partes",2017,389.7076263649612,definitivo
Ciudad Autónoma de Buenos Aires,"Curtido y terminación de cueros; fabricación de artículos de marroquinería, talabartería y calzado y de sus partes",2018,358.0385173301444,definitivo
Ciudad Autónoma de Buenos Aires,"Curtido y terminación de cueros; fabricación de artículos de marroquinería, talabartería y calzado y de sus partes",2019,342.35386964122887,definitivo
Ciudad Autónoma de Buenos Aires,"Curtido y terminación de cueros; fabricación de artículos de marroquinería, talabartería y calzado y de sus partes",2020,228.33165031983197,definitivo
Ciudad Autónoma de Buenos Aires,"Curtido y terminación de cueros; fabricación de artículos de marroquinería, talabartería y calzado y de sus partes",2021,274.0756598431564,definitivo
Ciudad Autónoma de Buenos Aires,"Curtido y terminación de cueros; fabricación de artículos de marroquinería, talabartería y calzado y de sus partes",2022,301.17015870935546,definitivo
Ciudad Autónoma de Buenos Aires,"Curtido y terminación de cueros; fabricación de artículos de marroquinería, talabartería y calzado y de sus partes",2023,300.49218797644386,provisorio
Ciudad Autónoma de Buenos Aires,"Curtido y terminación de cueros; fabricación de artículos de marroquinería, talabartería y calzado y de sus partes",2024,259.2014336885237,preliminar
Ciudad Autónoma de Buenos Aires,"Producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación de artículos de paja y de materiales trenzables",2004,143.9766828469288,definitivo
Ciudad Autónoma de Buenos Aires,"Producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación de artículos de paja y de materiales trenzables",2005,144.30343195349803,definitivo
Ciudad Autónoma de Buenos Aires,"Producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación de artículos de paja y de materiales trenzables",2006,162.21806309521241,definitivo
Ciudad Autónoma de Buenos Aires,"Producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación de artículos de paja y de materiales trenzables",2007,162.9611663027062,definitivo
Ciudad Autónoma de Buenos Aires,"Producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación de artículos de paja y de materiales trenzables",2008,143.35693182106954,definitivo
Ciudad Autónoma de Buenos Aires,"Producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación de artículos de paja y de materiales trenzables",2009,131.8595372943739,definitivo
Ciudad Autónoma de Buenos Aires,"Producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación de artículos de paja y de materiales trenzables",2010,145.39336228030527,definitivo
Ciudad Autónoma de Buenos Aires,"Producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación de artículos de paja y de materiales trenzables",2011,153.81504687458295,definitivo
